interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,numfailures
74,"[31.794489947877885, 39.27425327079733, 34.53541058903855, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[1023.8473868220747, 1273.2070417310742, 4574.833372630931, 0, 0, 0]","[3005.1526131779256, 6828.792958268926, 11536.166627369068, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1281, 3182, 5564, 0, 0, 0]","[475.35319999999996, 39.844800000000006, 2705.3244, 0, 0, 0]","[0.0, 0.23, 0.38253333333333334, 0, 0, 0]","[0.0, 0.2177333333333333, 0.028933333333333332, 0, 0, 0]","[3819.6468, 17140.1552, 31654.6756, 4295, 17180, 34360]","[372.0, 359.77, 376.15746666666666, 372.0, 360.0, 376.54]","[200.0, 304.78226666666666, 266.7210666666667, 200.0, 305.0, 266.75]","[(2, 0.042083333333333334, 0.015183333333333335), (3, 0.0, 0.003444444444444445), (5, 0.07118333333333333, 0.02438888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.05791666666666, 10.094816666666667), (16102, 51.900000000000006, 6.186555555555555), (32207, 58.12881666666667, 11.615611111111109), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
75,"[43.70811615785555, 29.27672179708714, 45.53410713177332, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[1009.1297612848427, 720.7346615522679, 1746.7766281727716, 0, 0, 0]","[3019.870238715157, 7381.265338447733, 14364.22337182723, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1761, 2372, 7336, 0, 0, 0]","[497.7224, 97.86653333333334, 3528.8053333333332, 0, 0, 0]","[0.009333333333333334, 0.013333333333333336, 0.41933333333333334, 0, 0, 0]","[0.00013333333333333337, 0.006666666666666666, 0.0644, 0, 0, 0]","[3797.2776, 17082.133466666666, 30831.194666666666, 4295, 17180, 34360]","[371.99066666666664, 359.9866666666667, 376.1206666666667, 372.0, 360.0, 376.54]","[199.99986666666666, 304.99333333333334, 266.6856, 200.0, 305.0, 266.75]","[(3, 1.666666666666667e-05, 0.0015222222222222221), (2, 0.0, 0.003238888888888889), (8, 0.32739999999999997, 0.11848333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.09998333333333, 10.108477777777777), (16103, 51.900000000000006, 6.18676111111111), (32204, 57.872600000000006, 11.521516666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
76,"[38.7192851824274, 28.783016539126145, 25.839488548196883, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[830.4644015209224, 1022.0287790173022, 3869.404673663182, 0, 0, 0]","[3198.5355984790776, 7079.971220982698, 12241.595326336817, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1560, 2332, 4163, 0, 0, 0]","[138.06026666666665, 0.0, 858.0825333333333, 0, 0, 0]","[0.017066666666666667, 0.011466666666666665, 0.027866666666666668, 0, 0, 0]","[0.004, 0.0048000000000000004, 0.017066666666666667, 0, 0, 0]","[4156.939733333334, 17180.0, 33501.917466666666, 4295, 17180, 34360]","[371.98293333333334, 359.98853333333335, 376.51213333333334, 372.0, 360.0, 376.54]","[199.996, 304.9952, 266.73293333333334, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0013222222222222222), (3, 0.0, 0.0028166666666666665), (6, 1.666666666666667e-05, 0.017866666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108677777777777), (16102, 51.900000000000006, 6.187183333333333), (32206, 58.199983333333336, 11.622133333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
77,"[32.46463142218913, 26.993334979017526, 37.81267457016945, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[397.33107594720565, 1045.481826668219, 5474.598352677709, 0, 0, 0]","[3631.6689240527944, 7056.518173331781, 10636.401647322291, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1308, 2187, 6092, 0, 0, 0]","[619.7058666666666, 37.74773333333333, 919.0749333333333, 0, 0, 0]","[1.0717333333333336, 0.00013333333333333337, 0.027999999999999997, 0, 0, 0]","[0.31973333333333337, 0.0021333333333333334, 0.011333333333333334, 0, 0, 0]","[3675.2941333333333, 17142.252266666666, 33440.92506666666, 4295, 17180, 34360]","[370.9282666666667, 359.99986666666666, 376.512, 372.0, 360.0, 376.54]","[199.68026666666665, 304.99786666666665, 266.7386666666667, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0052277777777777765), (5, 0.0, 0.0004111111111111111), (8, 0.0, 0.022844444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.104772222222222), (16100, 51.900000000000006, 6.189588888888888), (32204, 58.2, 11.617155555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
78,"[20.402084884586746, 54.70254258207849, 37.81267457016945, 0.0, 0.0, 0.0]","[2, 4, 3, 0, 0, 0]","[396.6300035307897, 1491.1978468261668, 1929.1756166240234, 0, 0, 0]","[3632.3699964692105, 6610.802153173833, 14181.824383375977, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[822, 4432, 6092, 0, 0, 0]","[762.7493333333333, 251.65493333333333, 985.1357333333333, 0, 0, 0]","[0.016399999999999998, 0.1584, 0.033600000000000005, 0, 0, 0]","[0.05706666666666666, 0.13746666666666665, 0.011733333333333333, 0, 0, 0]","[3532.250666666667, 16928.345066666665, 33374.864266666664, 4295, 17180, 34360]","[371.9836, 359.8416, 376.50640000000004, 372.0, 360.0, 376.54]","[199.94293333333334, 304.8625333333333, 266.7382666666667, 200.0, 305.0, 266.75]","[(4, 5e-05, 0.0039388888888888885), (11, 0.0018666666666666669, 0.00135), (8, 0.0, 0.017838888888888887), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09994999999999, 10.10606111111111), (16094, 51.89813333333334, 6.188649999999999), (32204, 58.2, 11.62216111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
79,"[20.402084884586746, 41.804492717847445, 40.97200670349451, 0.0, 0.0, 0.0]","[2, 3, 3, 0, 0, 0]","[646.6653464398789, 1882.8947827927987, 4039.773622022841, 0, 0, 0]","[3382.3346535601213, 6219.105217207201, 12071.226377977158, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[822, 3387, 6601, 0, 0, 0]","[103.89453333333333, 294.9962666666666, 1040.1864, 0, 0, 0]","[0.02186666666666667, 0.16973333333333332, 0.5448, 0, 0, 0]","[0.023333333333333327, 0.14613333333333334, 0.019733333333333335, 0, 0, 0]","[4191.105466666667, 16885.003733333335, 33319.8136, 4295, 17180, 34360]","[371.97813333333335, 359.83026666666666, 375.9952, 372.0, 360.0, 376.54]","[199.97666666666666, 304.85386666666665, 266.7302666666667, 200.0, 305.0, 266.75]","[(3, 0.0, 0.0009222222222222223), (7, 0.0, 0.0001722222222222222), (6, 0.0, 0.01183888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109077777777777), (16098, 51.900000000000006, 6.1898277777777775), (32206, 58.2, 11.62816111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
80,"[32.04269049391908, 27.425327079733396, 39.99131028489852, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[746.1166278703454, 1126.8386350113344, 5405.588374185542, 0, 0, 0]","[3282.8833721296546, 6975.161364988666, 10705.411625814457, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1291, 2222, 6443, 0, 0, 0]","[121.63173333333332, 141.20666666666662, 1448.4316000000001, 0, 0, 0]","[0.06133333333333332, 0.17253333333333337, 0.07613333333333333, 0, 0, 0]","[0.061733333333333335, 0.14853333333333332, 0.02186666666666667, 0, 0, 0]","[4173.368266666666, 17038.793333333335, 32911.5684, 4295, 17180, 34360]","[371.9386666666667, 359.8274666666667, 376.46386666666666, 372.0, 360.0, 376.54]","[199.93826666666666, 304.8514666666667, 266.72813333333335, 200.0, 305.0, 266.75]","[(5, 0.0, 0.0008444444444444444), (4, 0.0, 0.0001277777777777778), (7, 0.0, 0.0172), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109155555555555), (16101, 51.900000000000006, 6.189872222222221), (32205, 58.2, 11.622799999999998), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
81,"[41.424671134276494, 27.351271291039247, 52.945192725467074, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[1146.5002895870582, 954.6312914962789, 3858.551810560276, 0, 0, 0]","[2882.4997104129416, 7147.368708503721, 12252.448189439725, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1669, 2216, 8530, 0, 0, 0]","[111.5836, 55.924, 1705.682, 0, 0, 0]","[0.021466666666666665, 0.0, 0.07626666666666666, 0, 0, 0]","[0.022, 0.002, 0.014666666666666666, 0, 0, 0]","[4183.4164, 17124.076, 32654.318, 4295, 17180, 34360]","[371.97853333333336, 360.0, 376.4637333333334, 372.0, 360.0, 376.54]","[199.978, 304.998, 266.73533333333336, 200.0, 305.0, 266.75]","[(6, 1.666666666666667e-05, 0.0009944444444444445), (4, 0.04601666666666666, 0.016216666666666667), (10, 1.666666666666667e-05, 0.020561111111111113), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09998333333333, 10.109005555555555), (16101, 51.85398333333334, 6.173783333333333), (32202, 58.199983333333336, 11.619438888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
82,"[49.739389426656736, 27.252530239447047, 36.24231891254423, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[1437.7520892195453, 2201.068013778274, 4027.9989751571247, 0, 0, 0]","[2591.2479107804547, 5900.931986221726, 12083.001024842875, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2004, 2208, 5839, 0, 0, 0]","[127.31346666666667, 246.06560000000002, 1356.1564, 0, 0, 0]","[0.06626666666666667, 0.009333333333333334, 0.0656, 0, 0, 0]","[0.05706666666666666, 0.002266666666666667, 0.0132, 0, 0, 0]","[4167.6865333333335, 16933.9344, 33003.8436, 4295, 17180, 34360]","[371.93373333333335, 359.99066666666664, 376.4744, 372.0, 360.0, 376.54]","[199.94293333333334, 304.9977333333333, 266.7368, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0011888888888888889), (5, 0.0, 0.0011777777777777778), (9, 0.05115, 0.06035), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.10881111111111), (16100, 51.900000000000006, 6.188822222222222), (32203, 58.14885, 11.579649999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
83,"[62.2735170017374, 27.252530239447047, 25.243622369809447, 0.0, 0.0, 0.0]","[4, 2, 2, 0, 0, 0]","[1258.7033885062126, 705.7484970562865, 3328.250521163427, 0, 0, 0]","[2770.296611493787, 7396.251502943714, 12782.749478836573, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2509, 2208, 4067, 0, 0, 0]","[827.2373333333333, 55.924, 657.1068, 0, 0, 0]","[2.965866666666666, 0.0092, 0.010133333333333333, 0, 0, 0]","[0.17826666666666668, 0.0021333333333333334, 0.0012, 0, 0, 0]","[3467.7626666666665, 17124.076, 33702.8932, 4295, 17180, 34360]","[369.03413333333333, 359.9908, 376.5298666666667, 372.0, 360.0, 376.54]","[199.82173333333333, 304.99786666666665, 266.7488, 200.0, 305.0, 266.75]","[(7, 0.0, 0.010811111111111112), (5, 0.0, 0.0010833333333333333), (6, 0.06125, 0.026766666666666668), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.099188888888888), (16100, 51.900000000000006, 6.188916666666666), (32206, 58.13875, 11.613233333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
