criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,score,total time
gini, None, sqrt, 5, 2, 500, 0.549 , 1.3min
gini, None, sqrt, 5, 5, 200, 0.588 ,  29.4s
gini, None, sqrt, 5, 10, 200, 0.603 ,  34.8s
gini, None, sqrt, 5, 10, 200, 0.566 ,  29.7s
gini, None, sqrt, 5, 10, 1000, 0.586 , 2.5min
gini, None, sqrt, 20, 2, 500, 0.518 , 1.2min
gini, None, sqrt, 20, 5, 200, 0.530 ,  28.1s
gini, None, sqrt, 20, 10, 200, 0.541 ,  33.5s
gini, None, sqrt, 20, 10, 200, 0.528 ,  29.3s
gini, None, sqrt, 20, 10, 1000, 0.521 , 2.3min
gini, None, sqrt, 50, 2, 500, 0.434 , 1.1min
gini, None, sqrt, 50, 5, 500, 0.435 , 1.1min
gini, None, sqrt, 50, 10, 500, 0.466 , 1.1min
gini, None, sqrt, 50, 20, 200, 0.445 ,  24.4s
gini, None, sqrt, 50, 20, 1000, 0.455 , 2.1min
gini, None, sqrt, 100, 5, 1000, 0.329 , 2.0min
gini, None, sqrt, 100, 20, 500, 0.330 , 1.0min
gini, None, log2, 1, 2, 500, 0.626 , 1.3min
gini, None, log2, 1, 5, 500, 0.628 , 1.4min
gini, None, log2, 1, 10, 500, 0.592 , 1.3min
gini, None, log2, 1, 20, 200, 0.609 ,  28.6s
gini, None, log2, 1, 20, 1000, 0.605 , 2.6min
gini, None, log2, 5, 5, 1000, 0.587 , 2.5min
gini, None, log2, 5, 20, 500, 0.566 , 1.3min
gini, None, log2, 20, 2, 200, 0.530 ,  27.8s
gini, None, log2, 20, 5, 200, 0.530 ,  33.4s
gini, None, log2, 20, 5, 200, 0.533 ,  29.0s
gini, None, None, 1, 2, 200, 0.650 , 1.2min
gini, None, None, 1, 5, 200, 0.659 , 1.3min
gini, None, None, 1, 5, 500, 0.659 , 3.1min
gini, None, None, 1, 10, 200, 0.660 , 1.2min
gini, None, None, 1, 20, 200, 0.679 , 1.3min
gini, None, None, 1, 20, 200, 0.632 , 1.2min
gini, None, None, 1, 20, 1000, 0.657 , 5.9min
gini, None, None, 5, 5, 500, 0.630 , 3.0min
gini, None, None, 5, 10, 500, 0.685 , 3.0min
gini, None, None, 5, 20, 500, 0.658 , 3.0min
gini, None, None, 20, 2, 200, 0.558 , 1.0min
gini, None, None, 20, 2, 1000, 0.560 , 5.3min
gini, None, None, 20, 10, 1000, 0.560 , 5.3min
gini, None, None, 50, 2, 500, 0.530 , 2.5min
gini, None, None, 50, 5, 200, 0.519 , 1.0min
gini, None, None, 50, 5, 1000, 0.525 , 5.0min
gini, None, None, 50, 20, 1000, 0.530 , 5.0min
gini, None, None, 100, 5, 500, 0.475 , 2.3min
gini, None, None, 100, 10, 200, 0.473 ,  54.4s
gini, None, None, 100, 20, 200, 0.497 , 1.1min
gini, None, None, 100, 20, 200, 0.478 ,  57.1s
gini, None, None, 100, 20, 1000, 0.493 , 4.6min
gini, None, sqrt, 1, 5, 1000, 0.589 , 2.6min
gini, None, sqrt, 1, 20, 1000, 0.608 , 2.6min
gini, None, sqrt, 5, 5, 1000, 0.547 , 2.5min
gini, None, sqrt, 5, 20, 500, 0.571 , 1.2min
gini, None, sqrt, 20, 2, 500, 0.531 , 1.2min
gini, None, sqrt, 20, 5, 200, 0.526 ,  26.8s
gini, None, sqrt, 20, 5, 1000, 0.528 , 2.3min
gini, None, sqrt, 20, 20, 1000, 0.537 , 2.3min
gini, None, sqrt, 50, 5, 500, 0.468 , 1.1min
gini, None, sqrt, 50, 10, 200, 0.455 ,  25.2s
gini, None, sqrt, 50, 10, 1000, 0.450 , 2.1min
